episode,step,position,velocity,action
1,1,-0.5117043,-0.0016011898,-1.0
1,2,-0.5148947,-0.0031903794,-1.0
1,3,-0.5196504,-0.0047556525,-1.0
1,4,-0.52593565,-0.0062852646,-1.0
1,5,-0.5337034,-0.0077677383,-1.0
1,6,-0.5428954,-0.009191966,-1.0
1,7,-0.5534427,-0.010547322,-1.0
1,8,-0.5652665,-0.011823792,-1.0
1,9,-0.5782786,-0.013012097,-1.0
1,10,-0.59238243,-0.014103835,-1.0
1,11,-0.607474,-0.015091611,-1.0
1,12,-0.6234432,-0.015969165,-1.0
1,13,-0.6401747,-0.016731478,-1.0
1,14,-0.65754956,-0.017374873,-1.0
1,15,-0.6754466,-0.017897064,-1.0
1,16,-0.6937438,-0.018297188,-1.0
1,17,-0.7123196,-0.018575795,-1.0
1,18,-0.7310544,-0.018734802,-1.0
1,19,-0.74983186,-0.018777402,-1.0
1,20,-0.7685398,-0.01870795,-1.0
1,21,-0.7870716,-0.01853181,-1.0
1,22,-0.80532676,-0.01825519,-1.0
1,23,-0.8232117,-0.017884959,-1.0
1,24,-0.8406402,-0.017428447,-1.0
1,25,-0.85753345,-0.016893275,-1.0
1,26,-0.8738206,-0.016287165,-1.0
1,27,-0.8894384,-0.015617779,-1.0
1,28,-0.90433097,-0.014892582,-1.0
1,29,-0.9184497,-0.0141187105,-1.0
1,30,-0.93175256,-0.013302884,-1.0
1,31,-0.9442039,-0.0124513265,-1.0
1,32,-0.95577365,-0.011569717,-1.0
1,33,-0.9664368,-0.01066316,-1.0
1,34,-0.976173,-0.0097361775,-1.0
1,35,-0.9849657,-0.008792713,-1.0
1,36,-0.99280185,-0.007836156,-1.0
1,37,-0.9996712,-0.006869369,-1.0
1,38,-1.005566,-0.0058947373,-1.0
1,39,-1.0104802,-0.00491421,-1.0
1,40,-1.0144095,-0.0039293617,-1.0
1,41,-1.017351,-0.0029414464,-1.0
1,42,-1.0193025,-0.0019514613,-1.0
1,43,-1.0202627,-0.0009602102,-1.0
1,44,-1.0202311,3.163251e-05,-1.0
1,45,-1.0162077,0.004023456,1.0
1,46,-1.008195,0.00801266,1.0
1,47,-0.9961995,0.011995566,1.0
1,48,-0.98023313,0.015966363,1.0
1,49,-0.9603171,0.019916086,1.0
1,50,-0.9364854,0.023831647,1.0
1,51,-0.9087904,0.027695017,1.0
1,52,-0.87730783,0.031482585,1.0
1,53,-0.842143,0.035164848,1.0
1,54,-0.80343646,0.038706545,1.0
1,55,-0.7613691,0.04206734,1.0
1,56,-0.7161659,0.045203194,1.0
1,57,-0.66809744,0.048068445,1.0
1,58,-0.61747885,0.05061856,1.0
1,59,-0.56466544,0.05281339,1.0
1,60,-0.5100448,0.05462061,1.0
1,61,-0.45402583,0.056018982,1.0
1,62,-0.39702487,0.057000965,1.0
1,63,-0.33945057,0.05757431,1.0
1,64,-0.28168818,0.057762384,1.0
1,65,-0.224085,0.057603177,1.0
1,66,-0.16693787,0.057147127,1.0
1,67,-0.11048373,0.056454144,1.0
1,68,-0.054893512,0.055590216,1.0
1,69,-0.00026947315,0.05462404,1.0
1,70,0.05335457,0.05362404,1.0
1,71,0.10601056,0.052656,1.0
1,72,0.15779193,0.051781368,1.0
1,73,0.20884821,0.05105628,1.0
1,74,0.25937936,0.050531134,1.0
1,75,0.30962995,0.05025058,1.0
1,76,0.35988373,0.05025377,1.0
1,77,0.41045842,0.050574683,1.0
1,78,0.46170074,0.05124233,1.0
2,1,-0.5384555,-0.0013990955,-1.0
2,2,-0.5412432,-0.0027877071,-1.0
2,3,-0.54539865,-0.0041554356,-1.0
2,4,-0.5508907,-0.005492053,-1.0
2,5,-0.5576783,-0.006787592,-1.0
2,6,-0.5657107,-0.008032441,-1.0
2,7,-0.57492816,-0.009217441,-1.0
2,8,-0.5852622,-0.010333991,-1.0
2,9,-0.59663635,-0.011374149,-1.0
2,10,-0.60896707,-0.01233074,-1.0
2,11,-0.62216455,-0.013197454,-1.0
2,12,-0.6361335,-0.013968936,-1.0
2,13,-0.65077436,-0.014640868,-1.0
2,14,-0.6659844,-0.015210023,-1.0
2,15,-0.6816587,-0.015674312,-1.0
2,16,-0.6976915,-0.016032789,-1.0
2,17,-0.71397716,-0.016285649,-1.0
2,18,-0.73041135,-0.01643418,-1.0
2,19,-0.74689204,-0.016480701,-1.0
2,20,-0.7633205,-0.016428472,-1.0
2,21,-0.7796021,-0.01628158,-1.0
2,22,-0.7956469,-0.016044818,-1.0
2,23,-0.81137043,-0.015723543,-1.0
2,24,-0.82669395,-0.01532354,-1.0
2,25,-0.8415448,-0.014850877,-1.0
2,26,-0.8558566,-0.014311772,-1.0
2,27,-0.86956906,-0.013712464,-1.0
2,28,-0.88262814,-0.013059102,-1.0
2,29,-0.8949858,-0.0123576475,-1.0
2,30,-0.9065996,-0.011613795,-1.0
2,31,-0.9174325,-0.010832905,-1.0
2,32,-0.92745245,-0.010019963,-1.0
2,33,-0.936632,-0.009179547,-1.0
2,34,-0.9449478,-0.008315819,-1.0
2,35,-0.9523803,-0.007432519,-1.0
2,36,-0.95891327,-0.0065329797,-1.0
2,37,-0.96453345,-0.005620152,-1.0
2,38,-0.96923006,-0.004696634,-1.0
2,39,-0.97299474,-0.0037647109,-1.0
2,40,-0.97582114,-0.0028263987,-1.0
2,41,-0.97770464,-0.0018834942,-1.0
2,42,-0.9786423,-0.00093762693,-1.0
2,43,-0.97863257,9.686152e-06,-1.0
2,44,-0.9746756,0.0039569843,1.0
2,45,-0.96677756,0.0078980485,1.0
2,46,-0.95495194,0.011825643,1.0
2,47,-0.93922144,0.015730523,1.0
2,48,-0.91962093,0.019600503,1.0
2,49,-0.8962013,0.023419624,1.0
2,50,-0.8690338,0.027167482,1.0
2,51,-0.838215,0.030818801,1.0
2,52,-0.80387163,0.034343358,1.0
2,53,-0.7661653,0.03770633,1.0
2,54,-0.7252961,0.040869214,1.0
2,55,-0.6815048,0.04379131,1.0
2,56,-0.635073,0.046431802,1.0
2,57,-0.58632064,0.048752364,1.0
2,58,-0.5356006,0.050720006,1.0
2,59,-0.4832906,0.05231,1.0
2,60,-0.42978218,0.053508427,1.0
2,61,-0.37546813,0.054314055,1.0
2,62,-0.32072884,0.05473928,1.0
2,63,-0.26591888,0.05480996,1.0
2,64,-0.2113547,0.054564174,1.0
2,65,-0.1573046,0.054050107,1.0
2,66,-0.10398124,0.05332336,1.0
2,67,-0.05153723,0.05244401,1.0
2,68,-6.339815e-05,0.051473834,1.0
2,69,0.050410435,0.050473835,1.0
2,70,0.09991281,0.04950237,1.0
2,71,0.14852664,0.048613835,1.0
2,72,0.19638458,0.047857933,1.0
2,73,0.24366398,0.047279406,1.0
2,74,0.29058212,0.046918124,1.0
2,75,0.33739153,0.046809398,1.0
2,76,0.38437587,0.046984352,1.0
2,77,0.43184614,0.047470275,1.0
2,78,0.48013693,0.04829079,1.0
3,1,-0.56573135,-0.00119373,-1.0
3,2,-0.5681099,-0.0023785764,-1.0
3,3,-0.5716557,-0.003545734,-1.0
3,4,-0.5763422,-0.0046865544,-1.0
3,5,-0.58213484,-0.005792627,-1.0
3,6,-0.5889907,-0.0068558594,-1.0
3,7,-0.5968593,-0.00786856,-1.0
3,8,-0.6056828,-0.008823519,-1.0
3,9,-0.61539686,-0.009714092,-1.0
3,10,-0.62593114,-0.010534276,-1.0
3,11,-0.63720995,-0.011278782,-1.0
3,12,-0.64915305,-0.0119431,-1.0
3,13,-0.6616766,-0.0125235515,-1.0
3,14,-0.67469394,-0.01301733,-1.0
3,15,-0.6881165,-0.013422526,-1.0
3,16,-0.70185465,-0.013738131,-1.0
3,17,-0.7158187,-0.013964028,-1.0
3,18,-0.7299197,-0.01410096,-1.0
3,19,-0.7440702,-0.0141504835,-1.0
3,20,-0.7581851,-0.0141149,-1.0
3,21,-0.7721823,-0.013997179,-1.0
3,22,-0.78598315,-0.013800872,-1.0
3,23,-0.79951316,-0.013530005,-1.0
3,24,-0.8127022,-0.013188989,-1.0
3,25,-0.8254847,-0.012782509,-1.0
3,26,-0.83780015,-0.012315432,-1.0
3,27,-0.84959286,-0.0117927035,-1.0
3,28,-0.8608121,-0.011219274,-1.0
3,29,-0.87141216,-0.010600016,-1.0
3,30,-0.8813518,-0.009939665,-1.0
3,31,-0.8905946,-0.009242764,-1.0
3,32,-0.89910823,-0.008513627,-1.0
3,33,-0.9068645,-0.007756313,-1.0
3,34,-0.91383916,-0.00697461,-1.0
3,35,-0.92001116,-0.0061720307,-1.0
3,36,-0.925363,-0.0053518177,-1.0
3,37,-0.92987996,-0.0045169583,-1.0
3,38,-0.9335502,-0.003670205,-1.0
3,39,-0.9363643,-0.0028141048,-1.0
3,40,-0.93831533,-0.0019510314,-1.0
3,41,-0.9393985,-0.0010832222,-1.0
3,42,-0.9396114,-0.00021281888,-1.0
3,43,-0.9389533,0.0006580913,-1.0
3,44,-0.93442583,0.0045274314,1.0
3,45,-0.9260401,0.00838572,1.0
3,46,-0.9138177,0.01222239,1.0
3,47,-0.8977928,0.016024906,1.0
3,48,-0.87801486,0.019777963,1.0
3,49,-0.85455203,0.02346281,1.0
3,50,-0.8274952,0.027056789,1.0
3,51,-0.7969621,0.030533137,1.0
3,52,-0.7631009,0.033861157,1.0
3,53,-0.7260941,0.03700681,1.0
3,54,-0.6861603,0.039933823,1.0
3,55,-0.64355505,0.042605277,1.0
3,56,-0.5985694,0.044985656,1.0
3,57,-0.5515262,0.047043208,1.0
3,58,-0.50277376,0.04875242,1.0
3,59,-0.45267743,0.050096333,1.0
3,60,-0.401609,0.051068425,1.0
3,61,-0.3499352,0.05167379,1.0
3,62,-0.29800576,0.05192944,1.0
3,63,-0.24614203,0.051863726,1.0
3,64,-0.19462712,0.051514905,1.0
3,65,-0.14369804,0.05092908,1.0
3,66,-0.09354023,0.050157808,1.0
3,67,-0.04428463,0.0492556,1.0
3,68,0.003992998,0.048277628,1.0
3,69,0.051270805,0.04727781,1.0
3,70,0.09757813,0.04630732,1.0
3,71,0.14299181,0.045413677,1.0
3,72,0.18763201,0.044640195,1.0
3,73,0.23165792,0.044025913,1.0
3,74,0.27526367,0.043605737,1.0
3,75,0.31867447,0.043410797,1.0
3,76,0.36214334,0.043468863,1.0
3,77,0.40594807,0.043804742,1.0
3,78,0.45038864,0.044440567,1.0
4,1,-0.5641754,-0.0012054017,-1.0
4,2,-0.56657726,-0.0024018278,-1.0
4,3,-0.57015765,-0.0035803816,-1.0
4,4,-0.57488996,-0.0047323243,-1.0
4,5,-0.58073914,-0.0058491565,-1.0
4,6,-0.58766186,-0.0069226995,-1.0
4,7,-0.59560704,-0.007945179,-1.0
4,8,-0.6045163,-0.008909307,-1.0
4,9,-0.6143247,-0.009808369,-1.0
4,10,-0.62496096,-0.010636295,-1.0
4,11,-0.6363487,-0.011387741,-1.0
4,12,-0.64840686,-0.01205815,-1.0
4,13,-0.6610507,-0.0126438085,-1.0
4,14,-0.67419255,-0.013141886,-1.0
4,15,-0.687743,-0.013550464,-1.0
4,16,-0.7016115,-0.013868537,-1.0
4,17,-0.71570754,-0.014096003,-1.0
4,18,-0.7299412,-0.014233635,-1.0
4,19,-0.7442242,-0.014283027,-1.0
4,20,-0.7584707,-0.014246532,-1.0
4,21,-0.7725979,-0.014127179,-1.0
4,22,-0.7865265,-0.013928582,-1.0
4,23,-0.8001813,-0.013654841,-1.0
4,24,-0.81349176,-0.013310438,-1.0
4,25,-0.8263919,-0.012900134,-1.0
4,26,-0.83882076,-0.012428864,-1.0
4,27,-0.8507224,-0.011901647,-1.0
4,28,-0.8620459,-0.011323497,-1.0
4,29,-0.8727452,-0.010699345,-1.0
4,30,-0.8827792,-0.010033979,-1.0
4,31,-0.8921112,-0.009331988,-1.0
4,32,-0.9007089,-0.008597725,-1.0
4,33,-0.9085442,-0.007835277,-1.0
4,34,-0.9155926,-0.0070484555,-1.0
4,35,-0.9218334,-0.006240786,-1.0
4,36,-0.9272489,-0.005415519,-1.0
4,37,-0.93182456,-0.004575641,-1.0
4,38,-0.9355485,-0.0037238998,-1.0
4,39,-0.9384113,-0.0028628306,-1.0
4,40,-0.9404061,-0.0019947907,-1.0
4,41,-0.9415281,-0.0011219968,-1.0
4,42,-0.94177467,-0.00024656623,-1.0
4,43,-0.94114524,0.0006294402,-1.0
4,44,-0.9366413,0.004503974,1.0
4,45,-0.92827356,0.008367725,1.0
4,46,-0.91606325,0.012210297,1.0
4,47,-0.9000439,0.016019322,1.0
4,48,-0.8802643,0.019779643,1.0
4,49,-0.8567916,0.02347264,1.0
4,50,-0.82971585,0.027075749,1.0
4,51,-0.79915357,0.030562254,1.0
4,52,-0.7652521,0.033901446,1.0
4,53,-0.7281929,0.03705921,1.0
4,54,-0.6881938,0.03999912,1.0
4,55,-0.6455098,0.042684026,1.0
4,56,-0.6004317,0.04507811,1.0
4,57,-0.55328244,0.047149267,1.0
4,58,-0.50441086,0.0488716,1.0
4,59,-0.4541831,0.05022777,1.0
4,60,-0.4029722,0.051210906,1.0
4,61,-0.35114637,0.051825825,1.0
4,62,-0.299057,0.052089363,1.0
4,63,-0.2470272,0.052029803,1.0
4,64,-0.19534175,0.051685456,1.0
4,65,-0.14423916,0.051102594,1.0
4,66,-0.093906134,0.05033302,1.0
4,67,-0.044474564,0.04943157,1.0
4,68,0.0039792247,0.04845379,1.0
4,69,0.05143319,0.047453966,1.0
4,70,0.09791686,0.046483666,1.0
4,71,0.14350761,0.045590755,1.0
4,72,0.1883265,0.044818886,1.0
4,73,0.23253387,0.044207387,1.0
4,74,0.2763253,0.043791424,1.0
4,75,0.31992763,0.043602347,1.0
4,76,0.36359572,0.043668102,1.0
4,77,0.40760934,0.044013634,1.0
4,78,0.4522705,0.044661164,1.0
5,1,-0.57303137,-0.0011390643,-1.0
5,2,-0.57530105,-0.0022696774,-1.0
